indicator,sex,age,unit,code
1.1.1 Total population on 1 January,_T,_T,NUMBER,DM_POP_TOT
1.1.2 Total male population on 1 January,M,_T,NUMBER,DM_POP_TOT
1.1.3 Total female population on 1 January,F,_T,NUMBER,DM_POP_TOT
1.1.4 Population aged 0-17 years on 1 January,_T,Y0T17,NUMBER,DM_POP_TOT
1.1.5 Male population aged 0-17 years on 1 January,M,Y0T17,NUMBER,DM_POP_TOT
1.1.6 Female population aged 0-17 years on 1 January,F,Y0T17,NUMBER,DM_POP_TOT
1.1.7 Population aged 0-2 years on 1 January,_T,Y0T2,NUMBER,DM_POP_TOT
1.1.8 Population aged 0-4 years on 1 January,_T,Y0T4,NUMBER,DM_POP_TOT
1.1.9 Population aged 3-6 years on 1 January,_T,Y3T6,NUMBER,DM_POP_TOT
1.1.10 Population aged 0-14 years on 1 January,_T,Y0T14,NUMBER,DM_POP_TOT
1.1.11 Population aged 14-17 years on 1 January,_T,Y14T17,NUMBER,DM_POP_TOT
1.1.12 Population aged 7-17 years on 1 January,_T,Y7T17,NUMBER,DM_POP_TOT
1.1.13 Population aged 18-59 years on 1 January,_T,Y18T59,NUMBER,DM_POP_TOT
1.1.14 Population aged 60 and over on 1 January,_T,Y_GE60,NUMBER,DM_POP_TOT
1.1.15 Population aged 15-64 years on 1 January,_T,Y15T64,NUMBER,DM_POP_TOT
1.1.16 Population aged 65 and over on 1 January,_T,Y_GE65,NUMBER,DM_POP_TOT
1.2.1 Average total population,_T,_T,NUMBER,DM_AVG_POP_TOT
1.2.2 Average total population aged 0-17 years,_T,Y0T17,NUMBER,DM_AVG_POP_TOT
1.2.3 Average total population aged under 1 year,_T,Y0,NUMBER,DM_AVG_POP_TOT
1.2.4 Average total population aged 0-2 years,_T,Y0T2,NUMBER,DM_AVG_POP_TOT
1.2.5 Average total population aged 0-4 years,_T,Y0T4,NUMBER,DM_AVG_POP_TOT
1.2.6 Average total population aged 5-9 years,_T,Y5T9,NUMBER,DM_AVG_POP_TOT
1.2.7 Average total population aged 0-14 years,_T,Y0T14,NUMBER,DM_AVG_POP_TOT
1.2.8 Average total population aged 14-17 years,_T,Y14T17,NUMBER,DM_AVG_POP_TOT
1.2.9 Average total population aged 15-17 years,_T,Y15T17,NUMBER,DM_AVG_POP_TOT
1.2.10 Average total population aged 15-19 years,_T,Y15T19,NUMBER,DM_AVG_POP_TOT
1.2.11 Average total population aged 18-19 years,_T,Y18T19,NUMBER,DM_AVG_POP_TOT
1.2.12 Average total male population,M,_T,NUMBER,DM_AVG_POP_TOT
1.2.13 Average male population aged 0-17 years,M,Y0T17,NUMBER,DM_AVG_POP_TOT
1.2.14 Average male population aged under 1 year,M,Y0,NUMBER,DM_AVG_POP_TOT
1.2.15 Average male population aged 0-2 years,M,Y0T2,NUMBER,DM_AVG_POP_TOT
1.2.16 Average male population aged 0-4 years,M,Y0T4,NUMBER,DM_AVG_POP_TOT
1.2.17 Average male population aged 5-9 years,M,Y5T9,NUMBER,DM_AVG_POP_TOT
1.2.18 Average male population aged 0-14 years,M,Y0T14,NUMBER,DM_AVG_POP_TOT
1.2.19 Average male population aged 14-17 years,M,Y14T17,NUMBER,DM_AVG_POP_TOT
1.2.20 Average male population aged 15-17 years,M,Y15T17,NUMBER,DM_AVG_POP_TOT
1.2.21 Average male population aged 15-19 years,M,Y15T19,NUMBER,DM_AVG_POP_TOT
1.2.22 Average total female population,F,_T,NUMBER,DM_AVG_POP_TOT
1.2.23 Average female population aged 0-17 years,F,Y0T17,NUMBER,DM_AVG_POP_TOT
1.2.24 Average female population aged under 1 year,F,Y0,NUMBER,DM_AVG_POP_TOT
1.2.25 Average female population aged 0-2 years,F,Y0T2,NUMBER,DM_AVG_POP_TOT
1.2.26 Average female population aged 0-4 years,F,Y0T4,NUMBER,DM_AVG_POP_TOT
1.2.27 Average female population aged 5-9 years,F,Y5T9,NUMBER,DM_AVG_POP_TOT
1.2.28 Average female population aged 0-14 years,F,Y0T14,NUMBER,DM_AVG_POP_TOT
1.2.29 Average female population aged 14-17 years,F,Y14T17,NUMBER,DM_AVG_POP_TOT
1.2.30 Average female population aged 15-17 years,F,Y15T17,NUMBER,DM_AVG_POP_TOT
1.2.31 Average female population aged 15-19 years,F,Y15T19,NUMBER,DM_AVG_POP_TOT
1.3.1 Proportion of population aged 0-2 years (% of total population),_T,Y0T2,PCNT,DM_POP_PROP
1.3.2 Proportion of population aged 0-4 years (% of total population),_T,Y0T4,PCNT,DM_POP_PROP
1.3.3 Proportion of population aged 3-6 years (% of total population),_T,Y3T6,PCNT,DM_POP_PROP
1.3.4 Proportion of population aged 0-14 years (% of total population),_T,Y0T14,PCNT,DM_POP_PROP
1.3.5 Proportion of population aged 14-17 years (% of total population),_T,Y14T17,PCNT,DM_POP_PROP
1.3.6 Proportion of population aged 0-17 years  (% of total population),_T,Y0T17,PCNT,DM_POP_PROP
1.3.7 Proportion of population aged 7-17 years  (% of total population),_T,Y7T17,PCNT,DM_POP_PROP
1.3.8 Proportion of population aged 18-59 years (% of total population),_T,Y18T59,PCNT,DM_POP_PROP
1.3.9 Proportion of population aged 60 years and over (% of total population),_T,Y_GE60,PCNT,DM_POP_PROP
1.3.10 Proportion of population aged 15-64 years and over (% of total population),_T,Y15T64,PCNT,DM_POP_PROP
1.3.11 Proportion of population aged 65 years and over (% of total population),_T,Y_GE65,PCNT,DM_POP_PROP
"1.3.12 Age dependency ratio (population aged 0-14 and 65 and over to population aged 15-64, %)",_T,_T,PCNT,DM_DPR_AGE
"1.3.13 Child dependency ratio (population aged 0-14 to population aged 15-64, %)",_T,_T,PCNT,DM_DPR_CHD
"1.3.14 Old-age dependency ratio (population aged 65 and over  to population aged 15-64, %)",_T,_T,PCNT,DM_DPR_OLD
1.4.1 Number of immigrants,_T,_T,NUMBER,MG_IMG
1.4.2 Number of emigrants,_T,_T,NUMBER,MG_EMG
1.4.3 Net external migration,_T,_T,NUMBER,MG_NEXT
"1.4.4 Crude rate of net migration (per 100,000 average population)",_T,_T,NUMBER,MG_NEXTRT
1.5.1 Number of marriages,_T,_T,NUMBER,DM_MRG
"1.5.2 Crude marriage rate (per 1,000 average population)",_T,_T,NUMBER,DM_MRGRT
"1.5.3 Age-specific marriage rate (marriages per 1,000 average population aged 15-44)",_T,Y15T44,NUMBER,DM_MRGRT
1.5.4 Average age of women at first marriage (years),F,_T,NUMBER,DM_MRG_AGE
1.5.5 Average age of men at first marriage (years),M,_T,NUMBER,DM_MRG_AGE
1.5.6 Number of divorces,_T,_T,NUMBER,DM_DIV
"1.5.7 Crude divorce rate (per 1,000 average population)",_T,_T,NUMBER,DM_CRDIVRT
1.5.8 General divorce rate (per 100 marriages),_T,_T,PCNT,DM_GNDIVRT
1.5.9 Number of children affected by parental divorce,_T,_T,NUMBER,DM_CHLD_DIV
"1.5.10 Rate of children affected by parental divorce (per 1,000 average population aged 0-17)",_T,_T,NUMBER,DM_CHLDRT_DIV
2.1.1 Number of live births,_T,_T,NUMBER,FT_BRTS
2.1.2 Number of live births - Boys,M,_T,NUMBER,FT_BRTS_LIVE
2.1.3 Number of live births - Girls,F,_T,NUMBER,FT_BRTS_LIVE
2.1.4 Number of live births to women under age 20,_T,_T,NUMBER,FT_BRTS_LIVE_U20
2.1.5 Proportion of births to mothers under age 20 (as % of total live births),_T,_T,PCNT,FT_BRTS_LIVERT_U20
"2.1.6 Number of low-weight births (live births under 2,500 grams)",_T,_T,NUMBER,FT_BRTS_LIVE_LOW
"2.1.7 Proportion of live births under 2,500 grams (births under 2,500 grams as % of total live births)",_T,_T,PCNT,FT_BRTS_LIVE_LOWRT
"2.1.8 Proportion of low-weight births among mothers under age 20 (births under 2,500 grams as % of total live births to mothers under 20)",_T,Y0T19,PCNT,FT_BRTS_LIVE_LOWRT
"2.2.1 Crude birth rate (live births per 1,000 average population)",_T,_T,NUMBER,FT_CRBR
