code,label
_T,Total
M36T59,36 to 59 months old
M24T59,24 to 59 months old
Y0T4,Under 5 years old
Y3T5,3 to 5 years old
Y_GE25,25 years old and over
SCHOOL_AGE,School age
OVER_AGE,Over age
UNDER_AGE,Under age
Y_GE15,15 years old and over
Y15T24,15 to 24 years old
UNDER1_SCHOOL_ENTRY,One year younger than official school entrance age
SCHOOL_ENTRY_AGE,Official school entrance age
TH_ENTRY_GLAST,Official entrance age to the last grade
Y15T19,15 to 19 years old
Y15T49,15 to 49 years old
Y_GE50,50 years and over
Y0T14,Under 15 years old
M12T23,12 to 23 months old
Y03,3 years old
Y12,12 years old
Y07,7 years old
Y06,6 years old
Y02,2 years old
Y11,11 years old
Y13,13 years old
Y05,5 years old
Y14,14 years old
Y10,10 years old
Y0T17,Under 18 years old
Y0T2,Under 3 years old
Y3T6,3 to 6 years old
Y14T17,14 to 17 years old
Y7T17,7 to 17 years old
Y18T59,18 to 59 years old
Y_GE60,60 years old and over
Y15T64,15 to 64 years old
Y_GE65,65 years old and over
Y0,Under 1 year old
Y5T9,5 to 9 years old
Y15T17,15 to 17 years old
Y18T19,18 to 19 years old
Y15T44,15 to 44 years old
Y0T19,Under 20 years old
Y_GE18,18 years old and over
Y0T3,Under 4 years old
Y7T9,7 to 9 years old
Y10T17,10 to 17 years old
Y0T13,Under 14 years old
Y10T14,10 to 14 years old
Y20T24,20 to 24 years old
Y25T29,25 to 29 years old
Y10T19,10 to 19 years old
Y20T29,20 to 29 years old
Y30T39,30 to 39 years old
Y40T49,40 to 49 years old
Y50T59,50 to 59 years old
Y60T69,60 to 69 years old
Y70T79,70 to 79 years old
Y_GE80,80 years old and over
Y15T29,15 to 29 years old
Y30T49,30 to 49 years old
M0T11,Under 12 months old
M0T23,Under 24 months old
M0T5,Under 6 months old
M12T17,12 to 17 months old
M18T23,18 to 23 months old
M24T29,24 to 29 months old
M24T35,24 to 35 months old
M30T35,30 to 35 months old
M36T41,36 to 41 months old
M36T47,36 to 47 months old
M42T47,42 to 47 months old
M48T53,48 to 53 months old
M48T59,48 to 59 months old
M54T59,54 to 59 months old
M6T11,6 to 11 months old
M6T8,6 to 8 months old
M9T11,9 to 11 months old
M0T1,Under 2 months old
M2T3,2 to 3 months old
M4T5,4 to 5 months old
M6T23,6 to 23 months old
M12T15,12 to 15 months old
M16T19,16 to 19 months old
M20T23,20 to 23 months old
Y2T14,2 to 14 years old
Y2T4,2 to 4 years old
Y1T14,1 to 14 years old
Y1T2,1 to 2 years old
Y3T4,3 to 4 years old
M0,Under 1 month old
